protein	type	averabun	sd	se	col
ACHE	Hydrolases	2.976327755277219e-5	7.022292145925405e-5	1.4801002971094838e-6	yes
DPP4	Hydrolases	2.439650584308558e-5	3.166650668569406e-5	7.558952148831553e-7	yes
CDA	Hydrolases	1.3050175456471804e-5	2.8030533463940988e-5	4.1808685683783145e-7	no
NT5E	Hydrolases	1.2708320593199904e-5	1.8141364557799687e-5	1.0652976077927393e-6	no
PDF	Hydrolases	1.2265189269982217e-5	2.0688346403568762e-5	2.167180549521994e-7	no
BCHE	Hydrolases	1.02705e-5	1.6259887674993018e-5	2.0991424725483732e-6	no
FKBP1	Isomerases	2.2091538833289086e-5	3.8033264588902146e-5	8.17211328904162e-7	yes
PPIA	Isomerases	1.5408041835261162e-5	2.8709290187146945e-5	3.786398337237471e-7	yes
ECHS1	Lyases	1.8980345274510207e-5	4.198761912255443e-5	4.405130545082083e-7	no
PTS	Lyases	1.5868874160935588e-5	2.2055941142591755e-5	3.36702496805818e-7	no
CA	Lyases	1.1534945927263808e-5	1.6601842874264967e-5	4.073535289459532e-7	no
IDH	Oxidoreductases	2.804941214875278e-5	5.1938611642132914e-5	1.8990637220670072e-06	yes
IMPDH	Oxidoreductases	2.7279878026832465e-5	5.026535524295933e-5	3.8320290870180973e-7	no
OGDH	Oxidoreductases	2.4769181818181817e-5	3.316141546241997e-5	3.1618169049847765e-6	no
ACADSB	Oxidoreductases	2.2533058364360832e-5	4.1108278498749046e-5	1.5225288332870018e-6	yes
DHODH	Oxidoreductases	2.1706586015254753e-5	4.1389071803696926e-5	8.899332375265824e-7	yes
PTGR2	Oxidoreductases	1.906449738664151e-5	2.5282864623649163e-5	1.9864094470226435e-6	no
AKR1C3	Oxidoreductases	1.6598e-5	3.199651362952602e-5	1.0118186025392319e-5	no
GSR	Oxidoreductases	1.6588103516508924e-5	3.276286656943333e-5	3.4542770702896973e-7	no
DHFR	Oxidoreductases	1.5535486414985787e-5	3.1386784746240606e-5	2.55523584574464e-7	yes
RRM1	Oxidoreductases	1.3829698544698545e-5	1.781272117761612e-5	1.6907086731844213e-6	no
AKR1C1	Oxidoreductases	1.3653870967741935e-5	2.33652743299994e-5	4.196527152977993e-6	no
NQO2	Oxidoreductases	1.3539425299820323e-5	2.024660753827132e-5	6.189568529409809e-7	no
HADH	Oxidoreductases	1.2824881494794484e-5	3.0484195634504112e-5	5.948772757018914e-7	no
LDH	Oxidoreductases	1.2283830293120291e-5	2.838118383437036e-5	3.657903643771257e-7	no
DPYD	Oxidoreductases	1.1514243523616344e-5	2.0463757580100696e-5	1.2814902083536913e-6	no
ALDH	Oxidoreductases	8.531311589215272e-6	1.1242001867950766e-5	7.851754689675004e-7	no
AKR1C2	Oxidoreductases	7.134241982507288e-6	8.501264238063818e-6	6.072331598617013e-7	no
XDH	Oxidoreductases	7.000044943820224e-6	7.420983835642428e-6	7.86622713334244e-7	no
HMGCR	Oxidoreductases	5.846e-6	1.006281670309064e-5	4.500228438646198e-6	no
ETFDH	Oxidoreductases	4.7475e-6	2.426442869716903e-6	1.2132214348584515e-6	no
PRDX5	Oxidoreductases	2.97810377197474e-6	2.5648054297202174e-6	4.6065265384481184e-7	no
TYMP	Transferases	3.5152857142857144e-5	5.769796410779911e-5	9.75273597097593e-6	no
PPAT	Transferases	2.44014897739722e-5	3.915664142647672e-5	7.866015232228003e-7	no
PNP	Transferases	2.255065638539487e-5	4.2059243374768037e-5	1.0341742096005312e-6	no
TYMS	Transferases	1.525915904054818e-5	2.2947099920352725e-5	1.696298436784472e-6	no
HPRT1	Transferases	1.1748077914534882e-5	2.069053482630666e-5	2.513906498707305e-7	yes
ACAT	Transferases	1.0308125590179414e-5	1.282976005701939e-5	4.828543893978297e-7	no
COMT	Transferases	6.254089921085981e-6	8.069593292422696e-6	3.9051499026697596e-7	no
ATP6B	Translocases	2.6926624145354303e-5	4.782220426321575e-5	8.115956896970145e-7	no
ATP6M	Translocases	1.4688464910514145e-5	2.7726141512487734e-5	6.63920678210552e-7	no
ATP6F	Translocases	1.337088699676173e-5	2.683249885090242e-5	7.488220212157856e-7	no
ATP6A	Translocases	1.0658764478764479e-5	2.113063055363195e-5	9.284266048570236e-7	no
ATP6L	Translocases	1.017344122657581e-5	1.5326783270059505e-5	6.326040465725722e-7	no
SLC11A2	Transport	2.402893358618045e-5	3.0412010644935802e-5	6.734983265127266e-7	no
SLC5A2	Transport	2.094957303003672e-5	3.343042018675854e-5	8.494075685272777e-7	yes
AQP1	Transport	1.2818452380952382e-5	2.1315768270523983e-5	2.014150780288851e-6	no
TSPO	Transport	1.1796294946221022e-5	1.9345883028458502e-5	3.723806582405172e-7	no
DPYSL2	Unclassified	1.6591496942173786e-5	3.6873935096587935e-5	7.346921561539664e-7	no
