protein	type	averpre	sd	se	col
PDF	Hydrolases	0.9165912994384069	0.19641662706765514	0.054476170788162984	no
CDA	Hydrolases	0.9021073625870336	0.19361619028296537	0.0536994693711711	no
ACHE	Hydrolases	0.8314076039364003	0.1861633287828614	0.051632417502897536	yes
DPP4	Hydrolases	0.7774550936293889	0.18578615198859494	0.05363184243116001	yes
NT5E	Hydrolases	0.3450008753135853	0.19880624478179698	0.05994233817461561	no
BCHE	Hydrolases	0.1028639580656341	0.1331780326718874	0.04708554500368758	no
PPIA	Isomerases	0.9596613059465486	0.03396571097456645	0.009805056187191484	yes
FKBP1	Isomerases	0.8003312176286286	0.23496203800380985	0.06516674429309653	yes
ECHS1	Lyases	0.9258647330816724	0.1703811800286624	0.04725523699749256	no
PTS	Lyases	0.8934831973109727	0.2178556003304096	0.06042227212602165	no
CA	Lyases	0.18409292630973775	0.12029098010707336	0.0380393479112357	no
GSR	Oxidoreductases	0.9202147877695539	0.19576324745175663	0.054294955887588744	no
DHFR	Oxidoreductases	0.9090634810303582	0.1957535117358091	0.0542922556858155	yes
IMPDH	Oxidoreductases	0.8977128230245381	0.24439790928666139	0.06778378411917341	no
HADH	Oxidoreductases	0.8194758073902997	0.21271615769760002	0.05899684720756776	no
DHODH	Oxidoreductases	0.7580917676260303	0.1975069216227663	0.054778564089994715	yes
LDH	Oxidoreductases	0.6633822894957401	0.2737255469924899	0.07591780731429616	no
NQO2	Oxidoreductases	0.5793817992981519	0.24742280396493949	0.06862273895497417	no
ACADSB	Oxidoreductases	0.43369744420455103	0.23559141749929155	0.06800938415599074	yes
IDH	Oxidoreductases	0.41878527020369616	0.20941692934261866	0.06045346026441286	yes
DPYD	Oxidoreductases	0.3101797285491358	0.1377496050080159	0.0397648857660713	no
AKR1C2	Oxidoreductases	0.2593020599985613	0.16029165661856876	0.04832975291166185	no
ALDH	Oxidoreductases	0.23627421794292955	0.14421889112063513	0.043483631775296794	no
RRM1	Oxidoreductases	0.16867920815397947	0.12031007035342578	0.03627485107850675	no
XDH	Oxidoreductases	0.1551589885640657	0.11519163426489808	0.03473158453131941	no
OGDH	Oxidoreductases	0.14465350185103495	0.09461937575715475	0.02852881520764838	no
PTGR2	Oxidoreductases	0.14011833616499875	0.0795775465249728	0.02399353305094409	no
AKR1C3	Oxidoreductases	0.09562272376117427	0.09378710753477904	0.04689355376738952	no
AKR1C1	Oxidoreductases	0.06329587340018862	0.049510228249682015	0.01750450906672196	no
PRDX5	Oxidoreductases	0.04926327926421448	0.025227884391427535	0.010299240674820265	no
ETFDH	Oxidoreductases	0.04285714285714286	0.020203050891044214	0.014285714285714284	no
HMGCR	Oxidoreductases	0.022947810123262524	0.0020399094133364856	0.0014424337791765008	no
HPRT1	Transferases	0.90628041874145715	0.17435135894616324	0.04835636650978606	yes
PPAT	Transferases	0.8866083935478305	0.2151534567759146	0.05967283234606809	no
PNP	Transferases	0.7700059533362269	0.21541527392911963	0.059745447359197075	no
TYMP	Transferases	0.5608974358974359	0.03172915043785795	0.022435897435897467	no
ACAT	Transferases	0.4349690509454852	0.19477090476209102	0.05872563737944561	no
COMT	Transferases	0.35287043361796133	0.17452126149755876	0.05037994865246431	no
TYMS	Transferases	0.2497407463552628	0.15976718860056036	0.04612081467310162	no
ATP6M	Translocases	0.7855164731764656	0.21548872677042466	0.059765819511939676	no
ATP6B	Translocases	0.7609274959245275	0.2063127649103613	0.05722086558977349	no
ATP6F	Translocases	0.7173137474105583	0.24522009538945005	0.06801181751544867	no
ATP6L	Translocases	0.644482737352029	0.2235723065098948	0.06740958674615027	no
ATP6A	Translocases	0.4356675308499104	0.18186808351609832	0.052500793487510355	no
SLC11A2	Transport	0.8672797167844122	0.17669421386748593	0.05100722597032116	no
TSPO	Transport	0.800971182448178	0.23981469455106214	0.06651262906258378	no
SLC5A2	Transport	0.6770449993570875	0.21832825287228436	0.06055336235488379	yes
AQP1	Transport	0.1687671791122201	0.11407230545152565	0.034394094195774855	no
DPYSL2	Unclassified	0.7537677118274005	0.2441058497213195	0.06770278137007112	no
