strain	gene	drug	time	value	group
E. fergusonii	16S	DMSO	2h	11.46	Resistant
E. fergusonii	16S	DMSO	2h	11.35	Resistant
E. fergusonii	16S	DMSO	2h	11.33	Resistant
E. fergusonii	SLC5A2	DMSO	2h	27.31	Resistant
E. fergusonii	SLC5A2	DMSO	2h	27.17	Resistant
E. fergusonii	SLC5A2	DMSO	2h	27.13	Resistant
E. fergusonii	16S	Canagliflozin	2h	12.63	Resistant
E. fergusonii	16S	Canagliflozin	2h	13.12	Resistant
E. fergusonii	16S	Canagliflozin	2h	13.36	Resistant
E. fergusonii	SLC5A2	Canagliflozin	2h	26.82	Resistant
E. fergusonii	SLC5A2	Canagliflozin	2h	27.33	Resistant
E. fergusonii	SLC5A2	Canagliflozin	2h	27.27	Resistant
E. fergusonii	16S	DMSO	24h	13.02	Resistant
E. fergusonii	16S	DMSO	24h	12.56	Resistant
E. fergusonii	16S	DMSO	24h	12.11	Resistant
E. fergusonii	SLC5A2	DMSO	24h	29.26	Resistant
E. fergusonii	SLC5A2	DMSO	24h	28.19	Resistant
E. fergusonii	SLC5A2	DMSO	24h	28.89	Resistant
E. fergusonii	16S	Canagliflozin	24h	12.83	Resistant
E. fergusonii	16S	Canagliflozin	24h	13.04	Resistant
E. fergusonii	16S	Canagliflozin	24h	13.21	Resistant
E. fergusonii	SLC5A2	Canagliflozin	24h	29.2	Resistant
E. fergusonii	SLC5A2	Canagliflozin	24h	29.13	Resistant
E. fergusonii	SLC5A2	Canagliflozin	24h	29.36	Resistant
C. sporogenes	16S	DMSO	2h	24.46	Resistant
C. sporogenes	16S	DMSO	2h	24.12	Resistant
C. sporogenes	16S	DMSO	2h	23.95	Resistant
C. sporogenes	DHFR	DMSO	2h	25.14	Resistant
C. sporogenes	DHFR	DMSO	2h	24.48	Resistant
C. sporogenes	DHFR	DMSO	2h	24.02	Resistant
C. sporogenes	16S	Methotrexate	2h	23.72	Resistant
C. sporogenes	16S	Methotrexate	2h	24.51	Resistant
C. sporogenes	16S	Methotrexate	2h	24.08	Resistant
C. sporogenes	DHFR	Methotrexate	2h	26.12	Resistant
C. sporogenes	DHFR	Methotrexate	2h	26.77	Resistant
C. sporogenes	DHFR	Methotrexate	2h	26.21	Resistant
C. sporogenes	16S	DMSO	24h	24.27	Resistant
C. sporogenes	16S	DMSO	24h	24.19	Resistant
C. sporogenes	16S	DMSO	24h	24.07	Resistant
C. sporogenes	DHFR	DMSO	24h	26.29	Resistant
C. sporogenes	DHFR	DMSO	24h	26.22	Resistant
C. sporogenes	DHFR	DMSO	24h	26.47	Resistant
C. sporogenes	16S	Methotrexate	24h	23.13	Resistant
C. sporogenes	16S	Methotrexate	24h	23.35	Resistant
C. sporogenes	16S	Methotrexate	24h	23.48	Resistant
C. sporogenes	DHFR	Methotrexate	24h	25.93	Resistant
C. sporogenes	DHFR	Methotrexate	24h	25.96	Resistant
C. sporogenes	DHFR	Methotrexate	24h	26.29	Resistant
B. ovatus	16S	DMSO	2h	20.32	Sensitive
B. ovatus	16S	DMSO	2h	20.18	Sensitive
B. ovatus	16S	DMSO	2h	19.94	Sensitive
B. ovatus	SLC5A2	DMSO	2h	28.42	Sensitive
B. ovatus	SLC5A2	DMSO	2h	28.39	Sensitive
B. ovatus	SLC5A2	DMSO	2h	28.24	Sensitive
B. ovatus	16S	Canagliflozin	2h	22.13	Sensitive
B. ovatus	16S	Canagliflozin	2h	22.12	Sensitive
B. ovatus	16S	Canagliflozin	2h	22.44	Sensitive
B. ovatus	SLC5A2	Canagliflozin	2h	29.58	Sensitive
B. ovatus	SLC5A2	Canagliflozin	2h	30.37	Sensitive
B. ovatus	SLC5A2	Canagliflozin	2h	30.61	Sensitive
B. ovatus	16S	DMSO	24h	22.53	Sensitive
B. ovatus	16S	DMSO	24h	22.23	Sensitive
B. ovatus	16S	DMSO	24h	22.11	Sensitive
B. ovatus	SLC5A2	DMSO	24h	31.45	Sensitive
B. ovatus	SLC5A2	DMSO	24h	31.07	Sensitive
B. ovatus	SLC5A2	DMSO	24h	30.6	Sensitive
B. ovatus	16S	Canagliflozin	24h	22.31	Sensitive
B. ovatus	16S	Canagliflozin	24h	22.6	Sensitive
B. ovatus	16S	Canagliflozin	24h	22.63	Sensitive
B. ovatus	SLC5A2	Canagliflozin	24h	30.7	Sensitive
B. ovatus	SLC5A2	Canagliflozin	24h	30.88	Sensitive
B. ovatus	SLC5A2	Canagliflozin	24h	32.05	Sensitive
B. catenulatum	16S	DMSO	2h	16.24	Sensitive
B. catenulatum	16S	DMSO	2h	16.04	Sensitive
B. catenulatum	16S	DMSO	2h	15.56	Sensitive
B. catenulatum	DHFR	DMSO	2h	26.64	Sensitive
B. catenulatum	DHFR	DMSO	2h	26.44	Sensitive
B. catenulatum	DHFR	DMSO	2h	25.71	Sensitive
B. catenulatum	16S	Methotrexate	2h	15.75	Sensitive
B. catenulatum	16S	Methotrexate	2h	15.73	Sensitive
B. catenulatum	16S	Methotrexate	2h	16.15	Sensitive
B. catenulatum	DHFR	Methotrexate	2h	27.07	Sensitive
B. catenulatum	DHFR	Methotrexate	2h	29.32	Sensitive
B. catenulatum	DHFR	Methotrexate	2h	28.19	Sensitive
B. catenulatum	16S	DMSO	24h	17.21	Sensitive
B. catenulatum	16S	DMSO	24h	17.01	Sensitive
B. catenulatum	16S	DMSO	24h	16.88	Sensitive
B. catenulatum	DHFR	DMSO	24h	29.4	Sensitive
