strain_reocrd	label	label2	label3	label4	strain	Genus	phylum
Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila	Akk. muciniphila	A. muciniphila	A. muc	Akkermansia muciniphila	Akkermansia	Verrucomicrobia
Alistipes onderdonkii ATCC BAA-1178	Alistipes onderdonkii	Ali. onderdonkii	A. onderdonkii	A. ond	Alistipes onderdonkii         	Alistipes	Bacteroidota
Bacteroides dorei DSM 17855	Bacteroides dorei	Bac. dorei	B. dorei	B. dor	Bacteroides dorei             	Bacteroides	Bacteroidota
Bacteroides vulgatus ATCC 8482	Bacteroides vulgatus	Bac. vulgatus	B. vulgatus	B. vul	Bacteroides vulgatus          	Bacteroides	Bacteroidota
Bacteroides fragilis ATCC 25285	Bacteroides fragilis	Bac. fragilis	B. fragilis	B. fra	Bacteroides fragilis          	Bacteroides	Bacteroidota
Bacteroides ovatus JCM 5824	Bacteroides ovatus	Bac. ovatus	B. ovatus	B. ova	Bacteroides ovatus            	Bacteroides	Bacteroidota
Bacteroides thetaiotaomicron JCM 5827	Bacteroides thetaiotaomicron	Bac. thetaiotaomicron	B. thetaiotaomicron	B. the	Bacteroides thetaiotaomicron  	Bacteroides	Bacteroidota
Bacteroides xylanisolvens JCM 15633	Bacteroides xylanisolvens   	Bac. xylanisolvens	B. xylanisolvens	B. xyl	Bacteroides xylanisolvens     	Bacteroides	Bacteroidota
Parabacteroides goldsteinii DSM 19448	Parabacteroides goldsteinii	Par. goldsteinii	P. goldsteinii	P. gol	Parabacteroides goldsteinii   	Parabacteroides	Bacteroidota
Parabacteroides johnsonii DSM 18315	Parabacteroides johnsonii     	Par. johnsonii	P. johnsonii	P. joh	Parabacteroides johnsonii     	Parabacteroides	Bacteroidota
Prevotella intermedia ATCC 25611  	Prevotella intermedia  	Pre. intermedia	P. intermedia	P. int	Prevotella intermedia      	Prevotella	Bacteroidota
Bifidobacterium adolescentis ATCC 15703	Bifidobacterium adolescentis	Bif. adolescentis	B. adolescentis	B. ado	Bifidobacterium adolescentis  	Bifidobacterium	Actinomycetota
Bifidobacterium angulatum DSM 20098	Bifidobacterium angulatum 	Bif. angulatum	B. angulatum	B. ang	Bifidobacterium angulatum     	Bifidobacterium	Actinomycetota
Bifidobacterium animalis subsp. lactis DSM 10140	Bifidobacterium animalis	Bif. animalis	B. animalis	B. ani	Bifidobacterium animalis      	Bifidobacterium	Actinomycetota
Bifidobacterium breve DSM 20213	Bifidobacterium breve	Bif. breve	B. breve	B. bre	Bifidobacterium breve         	Bifidobacterium	Actinomycetota
Bifidobacterium catenulatum DSM 16992	Bifidobacterium catenulatum	Bif. catenulatum	B. catenulatum	B. cat	Bifidobacterium catenulatum   	Bifidobacterium	Actinomycetota
Bifidobacterium pseudocatenulatum DSM 20438	Bifidobacterium pseudocatenulatum	Bif. pseudocatenulatum	B. pseudocatenulatum	B. pse	Bifidobacterium pseudocatenulatum	Bifidobacterium	Actinomycetota
Bifidobacterium longum subsp. suillum JCM 19995	Bifidobacterium longum	Bif. longum	B. longum	B. lon	Bifidobacterium longum     	Bifidobacterium	Actinomycetota
Clostridium sporogenes JCM 1416    	Clostridium sporogenes	Clo. sporogenes	C. sporogenes	C. spo	Clostridium sporogenes        	Clostridium	Firmicutes
Clostridium thermopalmarium ATCC 51427	Clostridium thermopalmarium	Clo. thermopalmarium	C. thermopalmarium	C. the	Clostridium thermopalmarium   	Clostridium	Firmicutes
Ruminococcus gnavus ATCC 29149	Ruminococcus gnavus	Rum. gnavus	R. gnavus	R. gna	[Ruminococcus] gnavus	Ruminococcus	Firmicutes
Eubacterium barkeri ATCC 25849	Eubacterium barkeri	Eub. barkeri	E. barkeri	E. bar	Eubacterium barkeri           	Eubacterium	Firmicutes
Faecalibacterium prausnitzii ATCC 27768	Faecalibacterium prausnitzii	Fae. prausnitzii	F. prausnitzii	F. pra	Faecalibacterium prausnitzii  	Faecalibacterium	Firmicutes
Escherichia fergusonii ATCC 35469	Escherichia fergusonii	Esc. fergusonii	E. fergusonii	E. fer	Escherichia fergusonii        	Escherichia	Proteobacteria
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum	Fus. nucleatum	F. nucleatum	F. nuc	Fusobacterium nucleatum       	Fusobacterium	Fusobacteriota
