drug	strain	auc_ic50	max_ic50	auc_ic25	max_ic25	auc_mic	Drug	Conc
6MP	Akkermansia muciniphila	Inf	Inf	40	Inf	Inf	Mercaptopurine	17
6MP	Alistipes onderdonkii	Inf	Inf	0.5	0.5	Inf	Mercaptopurine	17
6MP	Bacteroides fragilis	120	360	1	40	Inf	Mercaptopurine	17
6MP	Bacteroides ovatus	Inf	Inf	360	Inf	Inf	Mercaptopurine	17
6MP	Bacteroides thetaiotaomicron	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Bacteroides xylanisolvens	Inf	Inf	1	40	Inf	Mercaptopurine	17
6MP	Bifidobacterium adolescentis	120	360	120	120	360	Mercaptopurine	17
6MP	Bifidobacterium angulatum	Inf	Inf	360	360	Inf	Mercaptopurine	17
6MP	Bifidobacterium animalis	Inf	Inf	40	360	Inf	Mercaptopurine	17
6MP	Bifidobacterium breve	Inf	Inf	360	Inf	Inf	Mercaptopurine	17
6MP	Bifidobacterium catenulatum	120	Inf	120	Inf	Inf	Mercaptopurine	17
6MP	Bifidobacterium longum	360	Inf	1	1	Inf	Mercaptopurine	17
6MP	Bifidobacterium pseudocatenulatum	360	Inf	120	360	Inf	Mercaptopurine	17
6MP	Clostridium sporogenes	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Clostridium thermopalmarium	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Escherichia fergusonii	Inf	Inf	40	360	Inf	Mercaptopurine	17
6MP	Eubacterium barkeri	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Faecalibacterium prausnitzii	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Fusobacterium nucleatum	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Parabacteroides goldsteinii	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Parabacteroides johnsonii	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Phocaeicola dorei	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
6MP	Phocaeicola vulgatus	Inf	Inf	120	Inf	Inf	Mercaptopurine	17
6MP	Prevotella intermedia	360	360	360	360	360	Mercaptopurine	17
6MP	[Ruminococcus] gnavus	Inf	Inf	Inf	Inf	Inf	Mercaptopurine	17
Can	Akkermansia muciniphila	120	120	1	120	360	Canagliflozin	200
Can	Alistipes onderdonkii	1	1	0.5	1	40	Canagliflozin	200
Can	Bacteroides fragilis	40	40	12	40	40	Canagliflozin	200
Can	Bacteroides ovatus	40	40	4	40	40	Canagliflozin	200
Can	Bacteroides thetaiotaomicron	40	40	0.5	12	120	Canagliflozin	200
Can	Bacteroides xylanisolvens	40	40	40	40	40	Canagliflozin	200
Can	Bifidobacterium adolescentis	120	120	120	120	120	Canagliflozin	200
Can	Bifidobacterium angulatum	120	120	40	120	120	Canagliflozin	200
Can	Bifidobacterium animalis	360	120	120	40	Inf	Canagliflozin	200
Can	Bifidobacterium breve	120	120	120	120	120	Canagliflozin	200
Can	Bifidobacterium catenulatum	120	120	120	120	120	Canagliflozin	200
Can	Bifidobacterium longum	360	360	360	360	360	Canagliflozin	200
Can	Bifidobacterium pseudocatenulatum	120	120	40	120	120	Canagliflozin	200
Can	Clostridium sporogenes	120	360	120	360	360	Canagliflozin	200
Can	Clostridium thermopalmarium	120	120	40	120	120	Canagliflozin	200
Can	Escherichia fergusonii	Inf	Inf	360	360	Inf	Canagliflozin	200
Can	Eubacterium barkeri	120	120	120	120	360	Canagliflozin	200
Can	Faecalibacterium prausnitzii	360	360	360	360	360	Canagliflozin	200
Can	Fusobacterium nucleatum	40	120	40	40	120	Canagliflozin	200
Can	Parabacteroides goldsteinii	360	360	120	120	360	Canagliflozin	200
Can	Parabacteroides johnsonii	40	40	40	12	120	Canagliflozin	200
Can	Phocaeicola dorei	40	40	40	40	40	Canagliflozin	200
Can	Phocaeicola vulgatus	40	120	40	40	120	Canagliflozin	200
Can	Prevotella intermedia	40	120	40	120	120	Canagliflozin	200
Can	[Ruminococcus] gnavus	40	120	12	40	120	Canagliflozin	200
Cyc	Akkermansia muciniphila	Inf	Inf	12	Inf	Inf	Cyclosporine	150
Cyc	Alistipes onderdonkii	Inf	Inf	Inf	Inf	Inf	Cyclosporine	150
Cyc	Bacteroides fragilis	Inf	Inf	Inf	Inf	Inf	Cyclosporine	150
Cyc	Bacteroides ovatus	Inf	Inf	Inf	Inf	Inf	Cyclosporine	150
Cyc	Bacteroides thetaiotaomicron	40	40	1	4	Inf	Cyclosporine	150
Cyc	Bacteroides xylanisolvens	Inf	Inf	1	Inf	Inf	Cyclosporine	150
Cyc	Bifidobacterium adolescentis	Inf	Inf	360	Inf	Inf	Cyclosporine	150
Cyc	Bifidobacterium angulatum	Inf	Inf	360	360	Inf	Cyclosporine	150
Cyc	Bifidobacterium animalis	Inf	Inf	360	Inf	Inf	Cyclosporine	150
