Target	Strain	Drug	target	prediction	affect	flag
PPIA	Bacteroides thetaiotaomicron	Cyclosporine	with	decrease	inhibit	inhibit_with_decrease
PPIA	Phocaeicola dorei	Cyclosporine	with	decrease	inhibit	inhibit_with_decrease
PPIA	Bifidobacterium pseudocatenulatum	Cyclosporine	with	decrease	inhibit	inhibit_with_decrease
PPIA	Prevotella intermedia	Cyclosporine	without	no-decrease	no-inhibit	no-inhibit_without_no-decrease
PPIA	[Ruminococcus] gnavus	Cyclosporine	with	decrease	no-inhibit	no-inhibit_with_decrease
PPIA	Bacteroides xylanisolvens	Cyclosporine	with	decrease	inhibit	inhibit_with_decrease
PPIA	Akkermansia muciniphila	Cyclosporine	with	decrease	inhibit	inhibit_with_decrease
PPIA	Fusobacterium nucleatum	Cyclosporine	with	decrease	inhibit	inhibit_with_decrease
PPIA	Phocaeicola vulgatus	Cyclosporine	with	decrease	inhibit	inhibit_with_decrease
PPIA	Clostridium sporogenes	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Bifidobacterium animalis	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Bifidobacterium adolescentis	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Parabacteroides johnsonii	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Escherichia fergusonii	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Bifidobacterium catenulatum	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Bifidobacterium angulatum	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Faecalibacterium prausnitzii	Cyclosporine	with	decrease	no-inhibit	no-inhibit_with_decrease
PPIA	Bifidobacterium longum	Cyclosporine	with	decrease	no-inhibit	no-inhibit_with_decrease
PPIA	Clostridium thermopalmarium	Cyclosporine	with	decrease	no-inhibit	no-inhibit_with_decrease
PPIA	Eubacterium barkeri	Cyclosporine	with	decrease	inhibit	inhibit_with_decrease
PPIA	Bacteroides ovatus	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Bifidobacterium breve	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Alistipes onderdonkii	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Parabacteroides goldsteinii	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
PPIA	Bacteroides fragilis	Cyclosporine	with	no-decrease	no-inhibit	no-inhibit_with_no-decrease
ACADSB	Alistipes onderdonkii	Valproic acid	with	decrease	inhibit	inhibit_with_decrease
ACADSB	Bacteroides thetaiotaomicron	Valproic acid	with	decrease	inhibit	inhibit_with_decrease
ACADSB	Bacteroides xylanisolvens	Valproic acid	with	no-decrease	inhibit	inhibit_with_no-decrease
ACADSB	Escherichia fergusonii	Valproic acid	without	no-decrease	no-inhibit	no-inhibit_without_no-decrease
