ASV	Nor10	Nor11	Nor12	Nor13	Nor14	Nor15	Nor1	Nor2	Nor3	Nor4	Nor5	Nor6	Nor7	Nor8	Nor9	Ros10	Ros11	Ros12	Ros13	Ros14	Ros15	Ros16	Ros17	Ros19	Ros1	Ros21	Ros22	Ros23	Ros26	Ros27	Ros28	Ros29	Ros2	Ros33	Ros35	Ros3	Ros4	Ros5	Ros6	Ros7	Ros8	Ros9	Taxon
ASV1	1429	41	315	46	0	0	13	10	128	0	0	0	319	234	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__acnes
ASV2	1253	5	2	3	0	0	0	0	0	0	3	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum
ASV3	487	4	3	17	1	0	0	16	1	0	2	122	12	3	23	0	0	74	28	0	0	0	0	0	0	0	0	10	27	2	0	2	0	108	0	0	0	49	0	0	2	12	k__Bacteria; p__Firmicutes; c__Bacilli
ASV4	544	27	78	32	0	0	10	7	28	0	3	2	118	88	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__
ASV5	525	43	53	32	4	0	7	27	188	24	3	15	210	177	3242	22	38	18	22	0	73	14	108	43	0	159	8	124	86	12	18	21	0	2	0	0	0	0	13	26	59	78	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__diminuta
ASV6	597	1058	504	380	102	0	1281	214	640	137	53	6	349	1116	542	304	124	794	505	0	48	84	168	532	70	185	547	638	27	7440	265	4036	2	105	12	0	0	62	4	4	203	40	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
ASV7	290	0	0	20	39	0	0	235	8	11	3	0	0	0	0	0	10	2	0	0	7129	0	0	37	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
ASV8	329	5214	1302	469	7501	0	1835	486	6399	628	82	893	2848	278	829	1982	37	3545	2457	0	705	126	69	286	21	663	1517	1694	7627	17302	3559	12529	13	9	1746	4	8	149	10	62	5470	2357	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__
ASV9	75	410	273	85	145	0	52	213	140	50	13	13	450	116	582	24	48	27	688	0	67	31	0	0	1	0	0	0	0	0	0	0	0	0	22	12	2	47	0	4	29	183	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum
ASV10	112	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	2	0	26	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__selenatarsenatis
ASV11	87	0	9	12	123	0	5	40	29	0	11	30	58	27	3	120	59	44	95	0	119	29	174	33	0	49	5	59	49	36	7	0	0	0	41	0	0	0	0	0	22	104	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Gluconacetobacter
ASV12	105	9	63	13	23	14	661	72	26	421	20	57	81	18	59	1	32	18	43	0	620	0	62	188	0	526	1847	392	401	168	57	100	0	95	31	0	0	155	9	31	368	15	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__kroppenstedtii
