sample-id	absolute-filepath	Group	Colour
I1-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I1-0d.341F_806R.fastq.gz	Z1	#D4D4D4
I1-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I1-14d.341F_806R.fastq.gz	Z1	#D4D4D4
I1-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I1-1d.341F_806R.fastq.gz	Z1	#D4D4D4
I1-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I1-7d.341F_806R.fastq.gz	Z1	#D4D4D4
I2-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I2-0d.341F_806R.fastq.gz	Z1	#D4D4D4
I2-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I2-14d.341F_806R.fastq.gz	Z1	#D4D4D4
I2-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I2-1d.341F_806R.fastq.gz	Z1	#D4D4D4
I2-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I2-7d.341F_806R.fastq.gz	Z1	#D4D4D4
I3-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I3-0d.341F_806R.fastq.gz	Z1	#D4D4D4
I3-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I3-14d.341F_806R.fastq.gz	Z1	#D4D4D4
I3-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I3-1d.341F_806R.fastq.gz	Z1	#D4D4D4
I3-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I3-7d.341F_806R.fastq.gz	Z1	#D4D4D4
I4-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I4-0d.341F_806R.fastq.gz	Z1	#D4D4D4
I4-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I4-14d.341F_806R.fastq.gz	Z1	#D4D4D4
I4-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I4-1d.341F_806R.fastq.gz	Z1	#D4D4D4
I4-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I4-7d.341F_806R.fastq.gz	Z1	#D4D4D4
I5-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I5-0d.341F_806R.fastq.gz	Z1	#D4D4D4
I5-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I5-14d.341F_806R.fastq.gz	Z1	#D4D4D4
I5-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I5-1d.341F_806R.fastq.gz	Z1	#D4D4D4
I5-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I5-7d.341F_806R.fastq.gz	Z1	#D4D4D4
I6-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I6-0d.341F_806R.fastq.gz	Z1	#D4D4D4
I6-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I6-14d.341F_806R.fastq.gz	Z1	#D4D4D4
I6-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I6-1d.341F_806R.fastq.gz	Z1	#D4D4D4
I6-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I6-7d.341F_806R.fastq.gz	Z1	#D4D4D4
I7-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I7-14d.341F_806R.fastq.gz	Z1	#D4D4D4
I7-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/I7-7d.341F_806R.fastq.gz	Z1	#D4D4D4
II10-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II10-0d.341F_806R.fastq.gz	Z1	#D4D4D4
II10-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II10-14d.341F_806R.fastq.gz	Z1	#D4D4D4
II10-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II10-1d.341F_806R.fastq.gz	Z1	#D4D4D4
II10-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II10-7d.341F_806R.fastq.gz	Z1	#D4D4D4
II11-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II11-0d.341F_806R.fastq.gz	Z1	#D4D4D4
II11-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II11-14d.341F_806R.fastq.gz	Z1	#D4D4D4
II11-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II11-1d.341F_806R.fastq.gz	Z1	#D4D4D4
II11-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II11-7d.341F_806R.fastq.gz	Z1	#D4D4D4
