DrugID	drugname	code	level	l1	l2	l3	l4
DB00001	Lepirudin	B01AE02	blood and blood forming organs;antithrombotic agents;antithrombotic agents;direct thrombin inhibitors	blood and blood forming organs	antithrombotic agents	antithrombotic agents	direct thrombin inhibitors
DB00002	Cetuximab	L01XC06	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;monoclonal antibodies	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	monoclonal antibodies
DB00003	Dornase alfa	R05CB13	respiratory system;cough and cold preparations;expectorants, excl. combinations with cough suppressants;mucolytics	respiratory system	cough and cold preparations	expectorants, excl. combinations with cough suppressants	mucolytics
DB00004	Denileukin diftitox	L01XX29	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;other antineoplastic agents	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	other antineoplastic agents
DB00005	Etanercept	L04AB01	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;tumor necrosis factor alpha (tnf-α) inhibitors	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	tumor necrosis factor alpha (tnf-α) inhibitors
DB00006	Bivalirudin	B01AE06	blood and blood forming organs;antithrombotic agents;antithrombotic agents;direct thrombin inhibitors	blood and blood forming organs	antithrombotic agents	antithrombotic agents	direct thrombin inhibitors
DB00007	Leuprolide	L02AE51	antineoplastic and immunomodulating agents;endocrine therapy;hormones and related agents;gonadotropin releasing hormone analogues	antineoplastic and immunomodulating agents	endocrine therapy	hormones and related agents	gonadotropin releasing hormone analogues
DB00007	Leuprolide	L02AE02	antineoplastic and immunomodulating agents;endocrine therapy;hormones and related agents;gonadotropin releasing hormone analogues	antineoplastic and immunomodulating agents	endocrine therapy	hormones and related agents	gonadotropin releasing hormone analogues
DB00008	Peginterferon alfa-2a	L03AB11	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00008	Peginterferon alfa-2a	L03AB61	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00009	Alteplase	B01AD02	blood and blood forming organs;antithrombotic agents;antithrombotic agents;enzymes	blood and blood forming organs	antithrombotic agents	antithrombotic agents	enzymes
DB00009	Alteplase	S01XA13	sensory organs;ophthalmologicals;other ophthalmologicals;other ophthalmologicals	sensory organs	ophthalmologicals	other ophthalmologicals	other ophthalmologicals
DB00010	Sermorelin	V04CD03	various;diagnostic agents;other diagnostic agents;tests for pituitary function	various	diagnostic agents	other diagnostic agents	tests for pituitary function
DB00010	Sermorelin	H01AC04	systemic hormonal preparations, excl. sex hormones and insulins;pituitary and hypothalamic hormones and analogues;anterior pituitary lobe hormones and analogues;somatropin and somatropin agonists	systemic hormonal preparations, excl. sex hormones and insulins	pituitary and hypothalamic hormones and analogues	anterior pituitary lobe hormones and analogues	somatropin and somatropin agonists
DB00011	Interferon alfa-n1	L03AB06	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00012	Darbepoetin alfa	B03XA02	blood and blood forming organs;antianemic preparations;other antianemic preparations;other antianemic preparations	blood and blood forming organs	antianemic preparations	other antianemic preparations	other antianemic preparations
DB00013	Urokinase	B01AD04	blood and blood forming organs;antithrombotic agents;antithrombotic agents;enzymes	blood and blood forming organs	antithrombotic agents	antithrombotic agents	enzymes
DB00014	Goserelin	L02AE03	antineoplastic and immunomodulating agents;endocrine therapy;hormones and related agents;gonadotropin releasing hormone analogues	antineoplastic and immunomodulating agents	endocrine therapy	hormones and related agents	gonadotropin releasing hormone analogues
DB00015	Reteplase	B01AD07	blood and blood forming organs;antithrombotic agents;antithrombotic agents;enzymes	blood and blood forming organs	antithrombotic agents	antithrombotic agents	enzymes
DB00016	Erythropoietin	B03XA01	blood and blood forming organs;antianemic preparations;other antianemic preparations;other antianemic preparations	blood and blood forming organs	antianemic preparations	other antianemic preparations	other antianemic preparations
DB00017	Salmon calcitonin	H05BA01	systemic hormonal preparations, excl. sex hormones and insulins;calcium homeostasis;anti-parathyroid agents;calcitonin preparations	systemic hormonal preparations, excl. sex hormones and insulins	calcium homeostasis	anti-parathyroid agents	calcitonin preparations
DB00018	Interferon alfa-n3	NA	NA	NA	NA	NA	NA
DB00019	Pegfilgrastim	L03AA13	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;colony stimulating factors	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	colony stimulating factors
DB00020	Sargramostim	L03AA09	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;colony stimulating factors	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	colony stimulating factors
DB00022	Peginterferon alfa-2b	L03AB10	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00022	Peginterferon alfa-2b	L03AB60	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00023	Asparaginase Escherichia coli	L01XX02	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;other antineoplastic agents	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	other antineoplastic agents
DB00024	Thyrotropin alfa	H01AB01	systemic hormonal preparations, excl. sex hormones and insulins;pituitary and hypothalamic hormones and analogues;anterior pituitary lobe hormones and analogues;thyrotropin	systemic hormonal preparations, excl. sex hormones and insulins	pituitary and hypothalamic hormones and analogues	anterior pituitary lobe hormones and analogues	thyrotropin
DB00025	Antihemophilic factor, human recombinant	B02BD02	blood and blood forming organs;antihemorrhagics;vitamin k and other hemostatics;blood coagulation factors	blood and blood forming organs	antihemorrhagics	vitamin k and other hemostatics	blood coagulation factors
DB00026	Anakinra	L04AC03	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;interleukin inhibitors	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	interleukin inhibitors
DB00027	Gramicidin D	R02AB30	respiratory system;throat preparations;throat preparations;antibiotics	respiratory system	throat preparations	throat preparations	antibiotics
DB00028	Human immunoglobulin G	NA	NA	NA	NA	NA	NA
DB00029	Anistreplase	B01AD03	blood and blood forming organs;antithrombotic agents;antithrombotic agents;enzymes	blood and blood forming organs	antithrombotic agents	antithrombotic agents	enzymes
DB00030	Insulin human	A10AC01	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, intermediate-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, intermediate-acting
DB00030	Insulin human	A10AE01	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, long-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, long-acting
DB00030	Insulin human	A10AB01	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, fast-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, fast-acting
DB00030	Insulin human	A10AD01	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, intermediate- or long-acting combined with fast-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, intermediate- or long-acting combined with fast-acting
DB00030	Insulin human	A10AF01	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for inhalation	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for inhalation
DB00031	Tenecteplase	B01AD11	blood and blood forming organs;antithrombotic agents;antithrombotic agents;enzymes	blood and blood forming organs	antithrombotic agents	antithrombotic agents	enzymes
DB00032	Menotropins	G03GA02	genito urinary system and sex hormones;sex hormones and modulators of the genital system;gonadotropins and other ovulation stimulants;gonadotropins	genito urinary system and sex hormones	sex hormones and modulators of the genital system	gonadotropins and other ovulation stimulants	gonadotropins
DB00033	Interferon gamma-1b	NA	NA	NA	NA	NA	NA
DB00034	Interferon alfa-2a, Recombinant	L03AB04	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00035	Desmopressin	H01BA02	systemic hormonal preparations, excl. sex hormones and insulins;pituitary and hypothalamic hormones and analogues;posterior pituitary lobe hormones;vasopressin and analogues	systemic hormonal preparations, excl. sex hormones and insulins	pituitary and hypothalamic hormones and analogues	posterior pituitary lobe hormones	vasopressin and analogues
DB00036	Coagulation factor VIIa Recombinant Human	B02BD08	blood and blood forming organs;antihemorrhagics;vitamin k and other hemostatics;blood coagulation factors	blood and blood forming organs	antihemorrhagics	vitamin k and other hemostatics	blood coagulation factors
DB00038	Oprelvekin	L03AC02	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interleukins	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interleukins
DB00039	Palifermin	V03AF08	various;all other therapeutic products;all other therapeutic products;detoxifying agents for antineoplastic treatment	various	all other therapeutic products	all other therapeutic products	detoxifying agents for antineoplastic treatment
DB00040	Glucagon	H04AA01	systemic hormonal preparations, excl. sex hormones and insulins;pancreatic hormones;glycogenolytic hormones;glycogenolytic hormones	systemic hormonal preparations, excl. sex hormones and insulins	pancreatic hormones	glycogenolytic hormones	glycogenolytic hormones
DB00041	Aldesleukin	L03AC01	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interleukins	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interleukins
DB00042	Botulinum Toxin Type B	M03AX01	musculo-skeletal system;muscle relaxants;muscle relaxants, peripherally acting agents;other muscle relaxants, peripherally acting agents	musculo-skeletal system	muscle relaxants	muscle relaxants, peripherally acting agents	other muscle relaxants, peripherally acting agents
DB00043	Omalizumab	R03DX05	respiratory system;drugs for obstructive airway diseases;other systemic drugs for obstructive airway diseases;other systemic drugs for obstructive airway diseases	respiratory system	drugs for obstructive airway diseases	other systemic drugs for obstructive airway diseases	other systemic drugs for obstructive airway diseases
DB00044	Lutropin alfa	G03GA07	genito urinary system and sex hormones;sex hormones and modulators of the genital system;gonadotropins and other ovulation stimulants;gonadotropins	genito urinary system and sex hormones	sex hormones and modulators of the genital system	gonadotropins and other ovulation stimulants	gonadotropins
DB00045	Lyme disease vaccine (recombinant OspA)	NA	NA	NA	NA	NA	NA
DB00046	Insulin lispro	A10AC04	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, intermediate-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, intermediate-acting
DB00046	Insulin lispro	A10AB04	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, fast-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, fast-acting
DB00046	Insulin lispro	A10AD04	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, intermediate- or long-acting combined with fast-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, intermediate- or long-acting combined with fast-acting
DB00047	Insulin glargine	A10AE54	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, long-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, long-acting
DB00047	Insulin glargine	A10AE04	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, long-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, long-acting
DB00048	Collagenase clostridium histolyticum	D03BA02	dermatologicals;preparations for treatment of wounds and ulcers;enzymes;proteolytic enzymes	dermatologicals	preparations for treatment of wounds and ulcers	enzymes	proteolytic enzymes
DB00048	Collagenase clostridium histolyticum	M09AB02	musculo-skeletal system;other drugs for disorders of the musculo-skeletal system;other drugs for disorders of the musculo-skeletal system;enzymes	musculo-skeletal system	other drugs for disorders of the musculo-skeletal system	other drugs for disorders of the musculo-skeletal system	enzymes
DB00048	Collagenase clostridium histolyticum	D03BA52	dermatologicals;preparations for treatment of wounds and ulcers;enzymes;proteolytic enzymes	dermatologicals	preparations for treatment of wounds and ulcers	enzymes	proteolytic enzymes
DB00049	Rasburicase	V03AF07	various;all other therapeutic products;all other therapeutic products;detoxifying agents for antineoplastic treatment	various	all other therapeutic products	all other therapeutic products	detoxifying agents for antineoplastic treatment
DB00049	Rasburicase	M04AX01	musculo-skeletal system;antigout preparations;antigout preparations;other antigout preparations	musculo-skeletal system	antigout preparations	antigout preparations	other antigout preparations
DB00050	Cetrorelix	H01CC02	systemic hormonal preparations, excl. sex hormones and insulins;pituitary and hypothalamic hormones and analogues;hypothalamic hormones;anti-gonadotropin-releasing hormones	systemic hormonal preparations, excl. sex hormones and insulins	pituitary and hypothalamic hormones and analogues	hypothalamic hormones	anti-gonadotropin-releasing hormones
DB00051	Adalimumab	L04AB04	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;tumor necrosis factor alpha (tnf-α) inhibitors	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	tumor necrosis factor alpha (tnf-α) inhibitors
DB00052	Somatotropin	H01AC01	systemic hormonal preparations, excl. sex hormones and insulins;pituitary and hypothalamic hormones and analogues;anterior pituitary lobe hormones and analogues;somatropin and somatropin agonists	systemic hormonal preparations, excl. sex hormones and insulins	pituitary and hypothalamic hormones and analogues	anterior pituitary lobe hormones and analogues	somatropin and somatropin agonists
DB00053	Imiglucerase	A16AB02	alimentary tract and metabolism;other alimentary tract and metabolism products;other alimentary tract and metabolism products;enzymes	alimentary tract and metabolism	other alimentary tract and metabolism products	other alimentary tract and metabolism products	enzymes
DB00054	Abciximab	B01AC13	blood and blood forming organs;antithrombotic agents;antithrombotic agents;platelet aggregation inhibitors excl. heparin	blood and blood forming organs	antithrombotic agents	antithrombotic agents	platelet aggregation inhibitors excl. heparin
DB00055	Drotrecogin alfa	B01AD10	blood and blood forming organs;antithrombotic agents;antithrombotic agents;enzymes	blood and blood forming organs	antithrombotic agents	antithrombotic agents	enzymes
DB00056	Gemtuzumab ozogamicin	L01XC05	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;monoclonal antibodies	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	monoclonal antibodies
DB00057	Indium In-111 satumomab pendetide	V09IB02	various;diagnostic radiopharmaceuticals;tumour detection;indium (111in) compounds	various	diagnostic radiopharmaceuticals	tumour detection	indium (111in) compounds
DB00058	Alpha-1-proteinase inhibitor	B02AB02	blood and blood forming organs;antihemorrhagics;antifibrinolytics;proteinase inhibitors	blood and blood forming organs	antihemorrhagics	antifibrinolytics	proteinase inhibitors
DB00059	Pegaspargase	L01XX24	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;other antineoplastic agents	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	other antineoplastic agents
DB00060	Interferon beta-1a	L03AB07	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00061	Pegademase	L03AX04	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;other immunostimulants	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	other immunostimulants
DB00062	Albumin human	NA	NA	NA	NA	NA	NA
DB00063	Eptifibatide	B01AC16	blood and blood forming organs;antithrombotic agents;antithrombotic agents;platelet aggregation inhibitors excl. heparin	blood and blood forming organs	antithrombotic agents	antithrombotic agents	platelet aggregation inhibitors excl. heparin
DB00065	Infliximab	L04AB02	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;tumor necrosis factor alpha (tnf-α) inhibitors	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	tumor necrosis factor alpha (tnf-α) inhibitors
DB00066	Follitropin	G03GA06	genito urinary system and sex hormones;sex hormones and modulators of the genital system;gonadotropins and other ovulation stimulants;gonadotropins	genito urinary system and sex hormones	sex hormones and modulators of the genital system	gonadotropins and other ovulation stimulants	gonadotropins
DB00066	Follitropin	G03GA10	genito urinary system and sex hormones;sex hormones and modulators of the genital system;gonadotropins and other ovulation stimulants;gonadotropins	genito urinary system and sex hormones	sex hormones and modulators of the genital system	gonadotropins and other ovulation stimulants	gonadotropins
DB00066	Follitropin	G03GA05	genito urinary system and sex hormones;sex hormones and modulators of the genital system;gonadotropins and other ovulation stimulants;gonadotropins	genito urinary system and sex hormones	sex hormones and modulators of the genital system	gonadotropins and other ovulation stimulants	gonadotropins
DB00067	Vasopressin	NA	NA	NA	NA	NA	NA
DB00068	Interferon beta-1b	L03AB08	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00069	Interferon alfacon-1	L03AB09	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00070	Hyaluronidase (ovine)	NA	NA	NA	NA	NA	NA
DB00071	Insulin pork	A10AC03	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, intermediate-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, intermediate-acting
