par	.y.	group1	group2	p	p.adj	p.format	p.signif	method	y
r	value	Control	Canagliflozin	2.63332070968232e-05	0.00013	2.6e-05	****	T-test	
r	value	Control	Cyclosporine	0.00663118394687037	0.017	0.0066	**	T-test	
r	value	Control	Enasidenib	0.00182316270167922	0.0061	0.0018	**	T-test	
r	value	Control	Galantamine	0.544880793828134	0.61	0.5449	ns	T-test	
r	value	Control	Mercaptopurine	0.0091651163083334	0.018	0.0092	**	T-test	
r	value	Control	Methotrexate	2.29186234994514e-05	0.00013	2.3e-05	****	T-test	
r	value	Control	Sirolimus	0.0148238314453725	0.025	0.0148	*	T-test	
r	value	Control	Teriflunomide	0.0594342135433082	0.085	0.0594	ns	T-test	
r	value	Control	Valproic acid	0.687642035015496	0.69	0.6876	ns	T-test	
r	value	Control	Vildagliptin	0.491287945302433	0.61	0.4913	ns	T-test	
k	value	Control	Canagliflozin	0.00209075672820119	0.01	0.0021	**	T-test	
k	value	Control	Cyclosporine	0.742042635274541	0.82	0.7420	ns	T-test	
k	value	Control	Enasidenib	0.00429128526643357	0.014	0.0043	**	T-test	
k	value	Control	Galantamine	0.509262288316451	0.64	0.5093	ns	T-test	
k	value	Control	Mercaptopurine	0.832554855053384	0.83	0.8326	ns	T-test	
k	value	Control	Methotrexate	0.000598926896857146	0.006	0.0006	***	T-test	
k	value	Control	Sirolimus	0.013853945259816	0.035	0.0139	*	T-test	
k	value	Control	Teriflunomide	0.457876218493129	0.64	0.4579	ns	T-test	
k	value	Control	Valproic acid	0.26823267461982	0.45	0.2682	ns	T-test	
k	value	Control	Vildagliptin	0.123517193651602	0.25	0.1235	ns	T-test	
auc_l	value	Control	Canagliflozin	1.32672653522828e-05	0.00013	1.3e-05	****	T-test	
auc_l	value	Control	Cyclosporine	0.257182516248008	0.37	0.25718	ns	T-test	
auc_l	value	Control	Enasidenib	0.0981518693863055	0.25	0.09815	ns	T-test	
auc_l	value	Control	Galantamine	0.654287670970867	0.65	0.65429	ns	T-test	
auc_l	value	Control	Mercaptopurine	0.602344045619444	0.65	0.60234	ns	T-test	
auc_l	value	Control	Methotrexate	0.000282225458708295	0.0014	0.00028	***	T-test	
auc_l	value	Control	Sirolimus	0.0298161755776639	0.099	0.02982	*	T-test	
auc_l	value	Control	Teriflunomide	0.253685170814876	0.37	0.25369	ns	T-test	
auc_l	value	Control	Valproic acid	0.42739714034751	0.53	0.42740	ns	T-test	
auc_l	value	Control	Vildagliptin	0.154363503218109	0.31	0.15436	ns	T-test	
auc_e	value	Control	Canagliflozin	1.01161734381834e-05	1e-04	1e-05	****	T-test	
auc_e	value	Control	Cyclosporine	0.247934071668646	0.35	0.24793	ns	T-test	
auc_e	value	Control	Enasidenib	0.0972401782756414	0.24	0.09724	ns	T-test	
auc_e	value	Control	Galantamine	0.66762901965549	0.67	0.66763	ns	T-test	
auc_e	value	Control	Mercaptopurine	0.539701050631075	0.6	0.53970	ns	T-test	
auc_e	value	Control	Methotrexate	0.000294253254124815	0.0015	0.00029	***	T-test	
auc_e	value	Control	Sirolimus	0.0308127822326037	0.1	0.03081	*	T-test	
auc_e	value	Control	Teriflunomide	0.231464917677708	0.35	0.23146	ns	T-test	
auc_e	value	Control	Valproic acid	0.42666411962244	0.53	0.42666	ns	T-test	
auc_e	value	Control	Vildagliptin	0.151831398986576	0.3	0.15183	ns	T-test	
t_mid	value	Control	Canagliflozin	1.21408650281903e-07	6.1e-07	1.2e-07	****	T-test	
t_mid	value	Control	Cyclosporine	0.000318985243280035	0.00084	0.00032	***	T-test	
t_mid	value	Control	Enasidenib	1.02786052465992e-07	6.1e-07	1.0e-07	****	T-test	
t_mid	value	Control	Galantamine	0.0671199264758689	0.084	0.06712	ns	T-test	
t_mid	value	Control	Mercaptopurine	0.000394495409139829	0.00084	0.00039	***	T-test	
t_mid	value	Control	Methotrexate	0.3359167409438	0.34	0.33592	ns	T-test	
t_mid	value	Control	Sirolimus	0.000421904196620772	0.00084	0.00042	***	T-test	
