protein	rep	Iden	cluster	Phylum	Class	Order	Family	Genus	Species	newPhylum	RefID	diff_zscore
DHFR,folA	GUT_GENOME145982_03722	30	gene_id_970214, GUT_GENOME145982_03722, gene_id_4990557	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis	Proteobacteria	refID181915	-0.160150190308587
DHFR,folA	KarlssonFH_2013__S462__bin.60|gene_id_1314	30	GUT_GENOME209360_00639, GUT_GENOME196481_01619, FerrettiP_2018__CA_C10023MS2386FE_t0M15__bin.17|gene_id_1272, GUT_GENOME067546_01925, Bengtsson-PalmeJ_2015__TRAVELRES11__bin.144|gene_id_1697, SchirmerM_2016__G88971__bin.9|gene_id_87, GUT_GENOME007505_01714, GUT_GENOME095503_01299, KarlssonFH_2013__S462__bin.60|gene_id_1314	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella sp An22	Bacteroidetes	refID299703	-0.0240225285462881
DHFR,folA	GUT_GENOME000111_00493	30.05	GUT_GENOME000111_00493	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella jalaludinii	Firmicutes	refID003930	0.704660837357781
DHFR,folA	Obregon-TitoAJ_2015__SM28__bin.16|gene_id_1525	30.05	Obregon-TitoAJ_2015__SM28__bin.16|gene_id_1525, GUT_GENOME238979_01876	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp	Firmicutes	refID054696	-0.112105133216011
DHFR,folA	VincentC_2016__MM023.1__bin.6|gene_id_983	30.05	gene_id_4310755, VincentC_2016__MM023.1__bin.6|gene_id_983	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella buccalis	Bacteroidetes	refID095583	-0.176165209339445
DHFR,folA	ZellerG_2014__CCIS36797902ST-4-0__bin.19|gene_id_362	30.05	GUT_GENOME252090_00997, ZellerG_2014__CCIS36797902ST-4-0__bin.19|gene_id_362, FengQ_2015__SID31360__bin.3|gene_id_319, BritoIL_2016__M1.16.ST__bin.2|gene_id_226, GUT_GENOME225812_00665	Firmicutes	Clostridia	Clostridiales	Clostridiales	Mogibacterium	Mogibacterium sp CM50	Firmicutes	refID169863	-0.168157699824016
DHFR,folA	RaymondF_2016__P6C0__bin.19|gene_id_562	30.05	GUT_GENOME252582_01165, XieH_2016__YSZC12003_36474__bin.34|gene_id_1124, RaymondF_2016__P6C0__bin.19|gene_id_562, GUT_GENOME255258_01115	Firmicutes	Firmicutes	Firmicutes	Firmicutes	Firmicutes	Firmicutes bacterium CAG 240	Firmicutes	refID176992	0.112105133216011
DHFR,folA	BackhedF_2015__SID570_12M__bin.3|gene_id_1045	30.05	GUT_GENOME000623_00290, BackhedF_2015__SID570_12M__bin.3|gene_id_1045	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp CAG 257	Firmicutes	refID203567	-0.456428042379472
DHFR,folA	XieH_2016__YSZC12003_35388__bin.10|gene_id_986	30.07	GUT_GENOME251015_00814, GUT_GENOME257151_01412, Bengtsson-PalmeJ_2015__TRAVELRES50__bin.54|gene_id_453, XieH_2016__YSZC12003_35388__bin.10|gene_id_986	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Anaerobutyricum hallii	Firmicutes	refID173089	-0.976916160882378
DHFR,folA	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.78|gene_id_980	30.11	CosteaPI_2017__SID713B073-11-90-0__bin.64|gene_id_1182, Bengtsson-PalmeJ_2015__TRAVELRES66__bin.78|gene_id_980, GUT_GENOME140345_01609, GUT_GENOME000662_03417	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Butyricicoccus sp	Firmicutes	refID165373	-0.024022528546288
