protein	type	averiden	sd	se	col
CDA	Hydrolases	43.284431818181815	5.345504687409216	0.5698327143189591	no
BCHE	Hydrolases	36.74	NA	NA	no
ACHE	Hydrolases	34.775	3.6845825703800856	0.5825836574679365	yes
DPP4	Hydrolases	32.19166666666667	2.2623553025887677	0.6530857214761012	yes
PDF	Hydrolases	31.563333333333333	1.4283907811637706	0.11662761890489025	no
NT5E	Hydrolases	30.87	0.5807138464240115	0.2053133493676709	no
FKBP1	Isomerases	41.126060606060605	5.935003653849939	1.0331515241506992	yes
PPIA	Isomerases	40.62168224299065	5.846447798479183	0.5651974418090514	yes
ECHS1	Lyases	37.18533333333333	5.008958488983209	0.3136731478838452	no
CA	Lyases	32.575833333333335	2.421895365793054	0.21079893412361114	no
PTS	Lyases	32.1828125	2.753558430064228	0.3441948037580285	no
IDH	Oxidoreductases	55.85578947368421	6.071587633141206	0.9849415743681295	yes
ETFDH	Oxidoreductases	53.32333333333334	2.5063984785610867	1.447069836293712	no
HMGCR	Oxidoreductases	48.69	NA	NA	no
ALDH	Oxidoreductases	41.92090909090909	4.25345848585702	1.2824659871764486	no
IMPDH	Oxidoreductases	39.95211409395973	4.369561241024266	0.1789842023654936	no
DHODH	Oxidoreductases	39.550363636363635	3.983675003308695	0.5371586278657955	yes
OGDH	Oxidoreductases	38.8175	0.6174881915200225	0.3087440957600113	no
PRDX5	Oxidoreductases	38.67	2.998132752230963	2.120000000000001	no
PTGR2	Oxidoreductases	37.686	0.6610068078318097	0.2956112311804133	no
HADH	Oxidoreductases	37.0241975308642	5.431011844996641	0.6034457605551824	no
LDH	Oxidoreductases	36.688529411764705	3.411456622340679	0.2616467790306807	no
AKR1C3	Oxidoreductases	35.775	0.5727564927611051	0.4050000000000011	no
NQO2	Oxidoreductases	35.04378378378378	4.3226588726997335	0.7106407411383536	no
GSR	Oxidoreductases	33.44471544715447	6.48344870346771	0.5845928823840767	no
AKR1C1	Oxidoreductases	33.34	1.1539786248742496	0.5769893124371248	no
RRM1	Oxidoreductases	32.876666666666665	2.5053210040498457	1.446447756094602	no
DHFR	Oxidoreductases	32.403333333333336	1.9019291971905725	0.10980793339775857	yes
AKR1C2	Oxidoreductases	31.216	0.979275242207215	0.4379452020515808	no
XDH	Oxidoreductases	30.93	0.43588989435406744	0.2516611478423584	no
ACADSB	Oxidoreductases	30.374	0.39359313453813577	0.1244650776545594	yes
DPYD	Oxidoreductases	30.04	NA	NA	no
PNP	Transferases	45.02724137931035	4.356866648561261	0.5720846180680736	no
TYMS	Transferases	44.16888888888889	6.716606188605259	1.58311926084077	no
ACAT	Transferases	39.33166666666666	8.188669370575788	2.3638652327033873	no
TYMP	Transferases	38.5175	1.2249727888134223	0.6124863944067112	no
PPAT	Transferases	35.566250000000004	4.496949616246977	0.6490787678680942	no
HPRT1	Transferases	34.383506493506495	2.544431452208968	0.20503612945784333	yes
COMT	Transferases	32.38333333333333	2.091488704248723	0.6971629014162409	no
ATP6B	Translocases	52.68113636363636	6.133455726880648	0.6538285773531877	no
ATP6A	Translocases	47.67333333333333	4.47867233478326	1.055633192879277	no
ATP6L	Translocases	34.05	4.047843047023109	1.529940864092154	no
ATP6F	Translocases	32.53	1.5321786542604718	0.5417069582084291	no
ATP6M	Translocases	31.506071428571428	1.8787985508587652	0.3550595520829165	no
AQP1	Transport	35.38111111111111	1.9041759664251385	0.6347253221417128	no
TSPO	Transport	33.52336283185841	2.0760107738759577	0.19529466579742946	no
SLC11A2	Transport	33.08309523809524	1.897895481579837	0.29285163068568654	no
SLC5A2	Transport	32.82349112426036	2.687331656119184	0.20671781970147568	yes
DPYSL2	Unclassified	34.080862068965516	2.3185826617976395	0.30444481861104855	no
